id_partido,equipo_local,equipo_visitante,resultado_final
1,Barcelona,Bayern München,0-3
2,Dynamo Kyiv,Benfica,0-0
3,Chelsea,Zenit,1-0
4,Malmö,Juventus,0-3
5,Lille,Wolfsburg,0-0
6,Villarreal,Atalanta,2-2
7,Young Boys,Manchester United,2-1
8,Sevilla,Red Bull Salzburg,1-1
9,Sporting de Portugal,Ajax,1-5
10,Atlético de Madrid,Porto,0-0
11,Manchester City,RB Leipzig,6-3
12,Brugge,PSG,1-1
13,Sheriff Tiraspol,Shakhtar Donetsk,2-0
14,Beşiktaş,Borussia Dortmund,1-2
15,Liverpool,Milan,3-2
16,Inter,Real Madrid,0-1
17,Borussia Dortmund,Sporting de Portugal,1-0
18,Milan,Atlético de Madrid,1-2
19,Porto,Liverpool,1-5
20,RB Leipzig,Brugge,1-2
21,PSG,Manchester City,2-0
22,Shakhtar Donetsk,Inter,0-0
23,Real Madrid,Sheriff Tiraspol,1-2
24,Juventus,Chelsea,1-0
25,Red Bull Salzburg,Lille,2-1
26,Atalanta,Young Boys,1-0
27,Wolfsburg,Sevilla,1-1
28,Manchester United,Villarreal,2-1
29,Benfica,Barcelona,3-0
30,Bayern München,Dynamo Kyiv,5-0
31,Zenit,Malmö,4-0
32,Atlético de Madrid,Liverpool,2-3
33,Inter,Sheriff Tiraspol,3-1
34,Shakhtar Donetsk,Real Madrid,0-5
35,Brugge,Manchester City,1-5
36,Beşiktaş,Sporting de Portugal,1-4
37,PSG,RB Leipzig,3-2
38,Porto,Milan,1-0
39,Ajax,Borussia Dortmund,4-0
40,Manchester United,Atalanta,3-2
41,Zenit,Juventus,0-1
42,Chelsea,Malmö,4-0
43,Lille,Sevilla,0-0
44,Young Boys,Villarreal,1-4
45,Benfica,Bayern München,0-4
46,Red Bull Salzburg,Wolfsburg,3-1
47,Barcelona,Dynamo Kyiv,1-0
48,Juventus,Zenit,4-2
49,Dynamo Kyiv,Barcelona,0-1
50,Atalanta,Manchester United,2-2
51,Villarreal,Young Boys,2-0
52,Bayern München,Benfica,5-2
53,Sevilla,Lille,1-2
54,Malmö,Chelsea,0-1
55,Wolfsburg,Red Bull Salzburg,2-1
56,Borussia Dortmund,Ajax,1-3
57,Sporting de Portugal,Beşiktaş,4-0
58,Liverpool,Atlético de Madrid,2-0
59,RB Leipzig,PSG,2-2
60,Manchester City,Brugge,4-1
61,Real Madrid,Shakhtar Donetsk,2-1
62,Milan,Porto,1-1
63,Sheriff Tiraspol,Inter,1-3
64,Lille,Red Bull Salzburg,1-0
65,Sevilla,Wolfsburg,2-0
66,Malmö,Zenit,1-1
67,Villarreal,Manchester United,0-2
68,Barcelona,Benfica,0-0
69,Chelsea,Juventus,4-0
70,Young Boys,Atalanta,3-3
71,Dynamo Kyiv,Bayern München,1-2
72,Inter,Shakhtar Donetsk,2-0
73,Sporting de Portugal,Borussia Dortmund,3-1
74,Beşiktaş,Ajax,1-2
75,Sheriff Tiraspol,Real Madrid,0-3
76,Brugge,RB Leipzig,0-5
77,Manchester City,PSG,2-1
78,Liverpool,Porto,2-0
79,Atlético de Madrid,Milan,0-1
80,Porto,Atlético de Madrid,1-3
81,RB Leipzig,Manchester City,2-1
82,Milan,Liverpool,1-2
83,PSG,Brugge,4-1
84,Borussia Dortmund,Beşiktaş,5-0
85,Shakhtar Donetsk,Sheriff Tiraspol,1-1
86,Real Madrid,Inter,2-0
87,Ajax,Sporting de Portugal,4-2
88,Manchester United,Young Boys,1-1
89,Red Bull Salzburg,Sevilla,1-0
90,Wolfsburg,Lille,1-3
91,Juventus,Malmö,1-0
92,Zenit,Chelsea,3-3
93,Benfica,Dynamo Kyiv,2-0
94,Bayern München,Barcelona,3-0
95,Atalanta,Villarreal,2-3
